publisher_number,subscriber_number,message_size,retain,qos,topics,predicted_ram_usage
1,2,1,0,0,9,2.7233247875965385
1,2,1,0,0,10,2.7233247875965385
1,2,1,0,1,1,3.036522953975458
1,2,1,0,1,2,3.036522953975458
1,2,1,0,1,3,3.036522953975458
1,2,1,0,1,4,3.036522953975458
1,2,1,0,1,5,3.036522953975458
1,2,1,0,1,6,3.036522953975458
1,2,1,0,1,7,3.036522953975458
1,2,1,0,1,8,3.036522953975458
1,2,1,0,1,9,3.036522953975458
1,2,1,0,1,10,3.036522953975458
1,2,1,0,2,1,3.681803745933542
1,2,1,0,2,2,3.681803745933542
1,2,1,0,2,3,3.681803745933542
1,2,1,0,2,4,3.681803745933542
1,2,1,0,2,5,3.681803745933542
1,2,1,0,2,6,3.681803745933542
1,2,1,0,2,7,3.681803745933542
1,2,1,0,2,8,3.681803745933542
1,2,1,0,2,9,3.681803745933542
1,2,1,0,2,10,3.681803745933542
1,2,2,1,0,1,5.241161262850273
1,2,2,1,0,2,5.241161262850273
1,2,2,1,0,3,5.241161262850273
1,2,2,1,0,4,5.241161262850273
1,2,2,1,0,5,5.241161262850273
1,2,2,1,0,6,5.241161262850273
1,2,2,1,0,7,5.241161262850273
1,2,2,1,0,8,5.241161262850273
1,2,2,1,0,9,5.241161262850273
1,2,2,1,0,10,5.241161262850273
1,2,2,1,1,1,5.85166797146427
1,2,2,1,1,2,5.85166797146427
1,2,2,1,1,3,5.85166797146427
1,2,2,1,1,4,5.85166797146427
1,2,2,1,1,5,5.85166797146427
1,2,2,1,1,6,5.85166797146427
1,2,2,1,1,7,5.85166797146427
1,2,2,1,1,8,5.85166797146427
1,2,2,1,1,9,5.85166797146427
1,2,2,1,1,10,5.85166797146427
1,2,2,1,2,1,6.401200262478992
1,2,2,1,2,2,6.401200262478992
1,2,2,1,2,3,6.401200262478992
1,2,2,1,2,4,6.401200262478992
1,2,2,1,2,5,6.401200262478992
1,2,2,1,2,6,6.401200262478992
1,2,2,1,2,7,6.401200262478992
1,2,2,1,2,8,6.401200262478992
1,2,2,1,2,9,6.401200262478992
1,2,2,1,2,10,6.401200262478992
1,2,2,0,0,1,5.241161262850273
1,2,2,0,0,2,5.241161262850273
1,2,2,0,0,3,5.241161262850273
1,2,2,0,0,4,5.241161262850273
1,2,2,0,0,5,5.241161262850273
1,2,2,0,0,6,5.241161262850273
1,2,2,0,0,7,5.241161262850273
1,2,2,0,0,8,5.241161262850273
1,2,2,0,0,9,5.241161262850273
1,2,2,0,0,10,5.241161262850273
1,2,2,0,1,1,5.85166797146427
1,2,2,0,1,2,5.85166797146427
1,2,2,0,1,3,5.85166797146427
1,2,2,0,1,4,5.85166797146427
1,2,2,0,1,5,5.85166797146427
1,2,2,0,1,6,5.85166797146427
1,2,2,0,1,7,5.85166797146427
1,2,2,0,1,8,5.85166797146427
1,2,2,0,1,9,5.85166797146427
1,2,2,0,1,10,5.85166797146427
1,2,2,0,2,1,6.401200262478992
1,2,2,0,2,2,6.401200262478992
1,2,2,0,2,3,6.401200262478992
1,2,2,0,2,4,6.401200262478992
1,2,2,0,2,5,6.401200262478992
1,2,2,0,2,6,6.401200262478992
1,2,2,0,2,7,6.401200262478992
1,2,2,0,2,8,6.401200262478992
1,2,2,0,2,9,6.401200262478992
1,2,2,0,2,10,6.401200262478992
1,2,4,1,0,1,5.241161262850273
1,2,4,1,0,2,5.241161262850273
1,2,4,1,0,3,5.241161262850273
1,2,4,1,0,4,5.241161262850273
1,2,4,1,0,5,5.241161262850273
1,2,4,1,0,6,5.241161262850273
1,2,4,1,0,7,5.241161262850273
1,2,4,1,0,8,5.241161262850273
1,2,4,1,0,9,5.241161262850273
1,2,4,1,0,10,5.241161262850273
1,2,4,1,1,1,5.85166797146427
1,2,4,1,1,2,5.85166797146427
1,2,4,1,1,3,5.85166797146427
1,2,4,1,1,4,5.85166797146427
1,2,4,1,1,5,5.85166797146427
1,2,4,1,1,6,5.85166797146427
1,2,4,1,1,7,5.85166797146427
1,2,4,1,1,8,5.85166797146427
1,2,4,1,1,9,5.85166797146427
1,2,4,1,1,10,5.85166797146427
1,2,4,1,2,1,6.401200262478992
1,2,4,1,2,2,6.401200262478992
1,2,4,1,2,3,6.401200262478992
1,2,4,1,2,4,6.401200262478992
1,2,4,1,2,5,6.401200262478992
1,2,4,1,2,6,6.401200262478992
1,2,4,1,2,7,6.401200262478992
1,2,4,1,2,8,6.401200262478992
1,2,4,1,2,9,6.401200262478992
1,2,4,1,2,10,6.401200262478992
1,2,4,0,0,1,5.241161262850273
1,2,4,0,0,2,5.241161262850273
1,2,4,0,0,3,5.241161262850273
1,2,4,0,0,4,5.241161262850273
1,2,4,0,0,5,5.241161262850273
1,2,4,0,0,6,5.241161262850273
1,2,4,0,0,7,5.241161262850273
1,2,4,0,0,8,5.241161262850273
1,2,4,0,0,9,5.241161262850273
1,2,4,0,0,10,5.241161262850273
1,2,4,0,1,1,5.85166797146427
1,2,4,0,1,2,5.85166797146427
1,2,4,0,1,3,5.85166797146427
